日付,平均気温,最高気温,最低気温,月
2021/1/1,4.4,10.5,-1.3,1
2021/1/2,4.8,10.8,0.1,1
2021/1/3,3.7,8.4,-0.4,1
2021/1/4,5.8,11.4,1.3,1
2021/1/5,6.0,10.0,2.5,1
2021/1/6,5.3,6.8,3.9,1
2021/1/7,6.3,12.7,2.0,1
2021/1/8,2.4,6.5,-1.5,1
2021/1/9,2.9,8.4,-1.5,1
2021/1/10,2.6,8.1,-2.4,1
2021/1/11,2.3,6.5,-1.3,1
2021/1/12,3.4,5.7,1.2,1
2021/1/13,5.8,12.5,-0.5,1
2021/1/14,7.9,14.5,0.9,1
2021/1/15,6.6,7.6,4.9,1
2021/1/16,10.0,18.7,4.3,1
2021/1/17,6.1,8.0,4.1,1
2021/1/18,4.3,8.6,1.0,1
2021/1/19,4.4,9.5,1.0,1
2021/1/20,3.9,9.5,0.2,1
2021/1/21,4.8,10.7,-0.3,1
2021/1/22,8.7,16.0,1.2,1
2021/1/23,6.4,10.2,2.7,1
2021/1/24,4.3,6.5,2.3,1
2021/1/25,7.6,13.2,3.8,1
2021/1/26,7.5,11.2,2.7,1
2021/1/27,10.3,16.2,6.4,1
2021/1/28,4.4,7.9,0.9,1
2021/1/29,5.3,10.8,0.7,1
2021/1/30,4.1,9.3,0.9,1
2021/1/31,5.4,11.9,-0.4,1
2021/2/1,7.2,14.0,1.8,2
2021/2/2,8.8,15.6,4.3,2
2021/2/3,6.2,11.8,1.0,2
2021/2/4,7.0,12.6,0.6,2
2021/2/5,7.1,12.4,1.9,2
2021/2/6,8.9,15.0,4.2,2
2021/2/7,9.9,16.3,4.4,2
2021/2/8,6.1,11.0,2.8,2
2021/2/9,4.7,9.6,0.8,2
2021/2/10,6.7,12.1,1.7,2
2021/2/11,8.7,14.1,3.3,2
2021/2/12,7.8,11.7,3.4,2
2021/2/13,10.4,16.2,4.9,2
2021/2/14,12.3,18.2,6.8,2
2021/2/15,11.4,14.1,8.3,2
2021/2/16,10.6,16.4,5.1,2
2021/2/17,7.6,13.1,2.2,2
2021/2/18,4.3,10.4,-0.5,2
2021/2/19,6.9,12.3,1.4,2
2021/2/20,10.2,18.1,1.4,2
2021/2/21,13.9,20.9,7.3,2
2021/2/22,14.9,21.9,7.7,2
2021/2/23,11.0,15.5,5.5,2
2021/2/24,6.4,11.9,3.2,2
2021/2/25,6.6,11.3,1.5,2
2021/2/26,8.7,11.8,5.6,2
2021/2/27,5.7,9.6,2.1,2
2021/2/28,6.6,12.9,0.3,2
2021/3/1,11.8,19.1,4.6,3
2021/3/2,13.5,19.8,7.9,3
2021/3/3,7.4,11.8,3.8,3
2021/3/4,9.0,15.0,2.3,3
2021/3/5,11.8,17.4,8.4,3
2021/3/6,13.8,21.0,9.6,3
2021/3/7,7.8,10.3,5.8,3
2021/3/8,6.6,7.7,5.1,3
2021/3/9,9.6,13.7,5.7,3
