都道府県,総人口(千人)
北海道,"5140 "
青森,"1204 "
岩手,"1181 "
宮城,"2280 "
秋田,"930 "
山形,"1041 "
福島,"1790 "
茨城,"2840 "
栃木,"1909 "
群馬,"1913 "
埼玉,"7337 "
千葉,"6266 "
東京,"14038 "
神奈川,"9232 "
新潟,"2153 "
富山,"1017 "
石川,"1118 "
福井,"753 "
山梨,"802 "
長野,"2020 "
岐阜,"1946 "
静岡,"3582 "
愛知,"7495 "
三重,"1742 "
滋賀,"1409 "
京都,"2550 "
大阪,"8782 "
兵庫,"5402 "
奈良,"1306 "
和歌山,"903 "
鳥取,"544 "
島根,"658 "
岡山,"1862 "
広島,"2760 "
山口,"1313 "
徳島,"704 "
香川,"934 "
愛媛,"1306 "
高知,"676 "
福岡,"5116 "
佐賀,"801 "
長崎,"1283 "
熊本,"1718 "
大分,"1107 "
宮崎,"1052 "
鹿児島,"1563 "
沖縄,"1468 "
